Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Player-additional
312,Skylar Mays,PG,26,POR,21,5,17,2.5,6.6,0.384,0.7,2.3,0.286,1.9,4.2,0.438,0.435,0.6,0.8,0.765,0.4,1.3,1.8,3.6,0.7,0.1,0.9,1,6.3,mayssk01
312,Skylar Mays,SG,26,LAL,10,0,6.3,0.9,1.8,0.5,0.2,0.5,0.4,0.7,1.3,0.538,0.556,0,0,,0.1,0.4,0.5,0.8,0.3,0.1,0.1,0.5,2,mayssk01
313,Miles McBride,PG,23,NYK,47,4,13.4,2.3,5.1,0.446,1.1,2.8,0.398,1.1,2.3,0.505,0.556,0.5,0.6,0.815,0.3,0.8,1,1.1,0.6,0.1,0.4,1.2,6.1,mcbrimi01
314,CJ McCollum,PG,32,NOP,45,45,31.6,6.8,14.9,0.458,3.4,8,0.425,3.4,6.9,0.497,0.572,1.8,2.3,0.794,0.6,3.7,4.3,4.5,1.1,0.8,1.5,2.1,18.8,mccolcj01
315,T.J. McConnell,PG,31,IND,50,4,17.5,3.8,7.1,0.541,0.1,0.4,0.238,3.7,6.6,0.56,0.548,0.7,0.9,0.766,0.6,2.1,2.7,5.5,1,0.1,1.5,1,8.5,mccontj01
316,Jaden McDaniels,SF,23,MIN,50,49,29.1,4.3,8.4,0.509,1.3,3.4,0.374,3,5,0.602,0.585,0.7,0.9,0.778,0.7,2,2.7,1.4,0.9,0.6,1.3,3.2,10.6,mcdanja02
317,Jalen McDaniels,SF,26,TOR,35,0,8.6,1,3.1,0.327,0.3,1.5,0.204,0.7,1.5,0.453,0.379,0.4,0.6,0.7,0.3,0.9,1.2,0.5,0.3,0.1,0.5,0.9,2.7,mcdanja01
318,Doug McDermott,SF,32,TOT,52,0,14.7,2,4.6,0.427,1.5,3.7,0.415,0.4,0.9,0.478,0.594,0.2,0.4,0.579,0.2,0.8,1,1.2,0.2,0,0.5,1,5.7,mcderdo01
318,Doug McDermott,SF,32,SAS,46,0,15.2,2.1,4.7,0.442,1.7,3.8,0.439,0.4,0.9,0.452,0.619,0.2,0.4,0.588,0.2,0.9,1,1.2,0.2,0,0.5,1,6,mcderdo01
318,Doug McDermott,SF,32,IND,6,0,11,1.2,4,0.292,0.7,3.3,0.2,0.5,0.7,0.75,0.375,0.2,0.3,0.5,0.2,0.3,0.5,0.7,0,0,0.2,0.5,3.2,mcderdo01
319,JaVale McGee,C,36,SAC,39,0,7.9,1.9,3,0.629,0,0.1,0,1.9,2.9,0.652,0.629,0.6,1.1,0.581,0.9,1.9,2.9,0.4,0.2,0.5,0.8,1.1,4.4,mcgeeja01
320,Bryce McGowens,SG,21,CHO,47,13,15.9,1.8,4,0.45,0.6,1.9,0.345,1.2,2.2,0.539,0.529,1,1.4,0.766,0.3,1.6,1.9,0.9,0.4,0.1,0.5,1.4,5.3,mcgowbr01
321,Jordan McLaughlin,PG,27,MIN,37,0,8.9,1,2.3,0.424,0.6,1.3,0.429,0.4,1,0.417,0.547,0.1,0.2,0.5,0.3,0.8,1,1.7,0.7,0.2,0.4,0.5,2.6,mclaujo01
322,De'Anthony Melton,SG,25,PHI,36,33,27.8,3.8,9.7,0.391,2.1,5.8,0.362,1.7,3.9,0.433,0.499,1.8,2.2,0.835,0.8,3.1,3.8,3.1,1.6,0.4,1.1,2.3,11.5,meltode01
323,Nathan Mensah,C,25,CHO,25,0,12.3,0.5,1.1,0.429,0,0,,0.5,1.1,0.429,0.429,0.4,0.5,0.75,1.2,1.4,2.6,0.4,0.2,0.6,0.6,2.6,1.3,mensana01
324,Sam Merrill,SG,27,CLE,41,0,15.4,2.6,6,0.435,2.3,5.2,0.435,0.3,0.8,0.438,0.624,0.3,0.3,0.917,0.4,1.5,1.9,1.5,0.3,0,0.3,1,7.8,merrisa01
325,Chimezie Metu,C,26,PHO,37,5,12.1,1.8,3.5,0.508,0.4,1.4,0.294,1.4,2.1,0.646,0.565,1,1.2,0.884,0.6,2.3,3,0.5,0.5,0.2,0.7,1.1,5,metuch01
326,Vasilije Micić,PG,30,TOT,39,0,14.2,1.7,4.2,0.407,0.5,1.8,0.25,1.2,2.3,0.533,0.463,0.6,0.8,0.774,0.1,0.8,0.9,3.3,0.3,0.1,1.1,0.9,4.5,micicva01
326,Vasilije Micić,PG,30,OKC,30,0,12,1.2,3,0.407,0.4,1.5,0.244,0.9,1.5,0.565,0.467,0.5,0.6,0.737,0,0.8,0.8,2.5,0.3,0.1,1,0.7,3.3,micicva01
326,Vasilije Micić,PG,30,CHO,9,0,21.6,3.2,7.9,0.408,0.8,3,0.259,2.4,4.9,0.5,0.458,1.1,1.3,0.833,0.3,1.1,1.4,5.9,0.4,0,1.7,1.3,8.3,micicva01
327,Khris Middleton,SF,32,MIL,43,43,26.3,5.6,11.6,0.487,1.7,4.5,0.378,3.9,7.1,0.556,0.56,1.8,2.2,0.832,0.6,3.7,4.3,5,0.9,0.3,2.1,2.4,14.8,middlkh01
328,Brandon Miller,SF,21,CHO,53,47,31.8,6.2,14.2,0.438,2.3,6.2,0.374,3.9,8,0.486,0.519,1.8,2.2,0.836,0.8,3.2,4,2.3,0.9,0.5,1.8,2.6,16.5,millebr02
329,Jordan Miller,SF,24,LAC,5,0,4.2,0.8,1.2,0.667,0.2,0.2,1,0.6,1,0.6,0.75,0.4,0.4,1,0.4,0.4,0.8,0,0,0,0.2,0.4,2.2,millejo02
330,Leonard Miller,SF,20,MIN,7,0,3.7,1,1.6,0.636,0.1,0.4,0.333,0.9,1.1,0.75,0.682,0,0,,0.1,1.3,1.4,0.4,0.1,0.1,0.1,0.4,2.1,millele01
331,Dariq Whitehead,SF,19,BRK,2,0,12,0.5,2.5,0.2,0,1.5,0,0.5,1,0.5,0.2,0.5,1,0.5,0,2,2,1.5,0,0.5,0,0,1.5,whiteda01
332,Patty Mills,PG,35,ATL,19,0,10.6,1,2.7,0.373,0.7,1.8,0.382,0.3,0.9,0.353,0.5,0,0,,0.3,0.8,1.1,0.7,0.5,0.1,0.4,0.9,2.7,millspa02
333,Shake Milton,SG,27,TOT,42,0,13.2,1.8,4.4,0.403,0.4,1.5,0.274,1.4,3,0.468,0.449,0.9,1.1,0.809,0.3,1.3,1.6,1.3,0.4,0.1,0.7,1.1,4.9,miltosh01
333,Shake Milton,SG,27,MIN,38,0,12.9,1.7,4.2,0.4,0.4,1.4,0.264,1.3,2.8,0.467,0.444,0.9,1.2,0.818,0.2,1.2,1.3,1.3,0.4,0.1,0.7,1.2,4.7,miltosh01
333,Shake Milton,SG,27,DET,4,0,15.8,2.8,6.5,0.423,0.8,2.3,0.333,2,4.3,0.471,0.481,0.5,0.8,0.667,1.8,2.8,4.5,1.5,0.5,0.3,0.8,0.8,6.8,miltosh01
334,Justin Minaya,SF,24,POR,19,0,7.9,0.3,1.3,0.24,0.2,0.8,0.188,0.2,0.5,0.333,0.3,0.2,0.3,0.5,0.5,0.5,1.1,0.4,0.3,0.3,0.3,0.5,0.9,minayju01
335,Josh Minott,SF,21,MIN,21,0,3,0.5,1,0.476,0,0.3,0.167,0.4,0.7,0.6,0.5,0.6,0.7,0.857,0.1,0.4,0.6,0.1,0.1,0.1,0.1,0.3,1.6,minotjo01
336,Davion Mitchell,PG,25,SAC,49,4,13.4,1.6,3.7,0.43,0.6,1.8,0.315,1,1.8,0.544,0.508,0.4,0.6,0.741,0.1,0.9,1,1.7,0.2,0.1,0.6,1.2,4.1,mitchda01
337,Donovan Mitchell,SG,27,CLE,47,47,35.7,9.7,20.4,0.472,3.4,9.1,0.371,6.3,11.3,0.553,0.555,5.3,6.1,0.861,0.9,4.5,5.4,6.2,1.8,0.5,2.9,2.3,28,mitchdo01
338,Evan Mobley,PF,22,CLE,36,36,31.4,6.6,11.3,0.586,0.3,0.9,0.333,6.3,10.4,0.608,0.599,2.4,3.4,0.713,2.4,7.8,10.3,2.9,0.9,1.6,1.9,2.9,16,mobleev01
339,Isaiah Mobley,PF,24,CLE,3,0,4.7,0.7,1.3,0.5,0.3,0.7,0.5,0.3,0.7,0.5,0.625,0,0,,0,0.7,0.7,1.3,0.3,0,0.3,0.7,1.7,mobleis01
340,Malik Monk,SG,25,SAC,58,0,25.9,5.5,12.2,0.451,2.2,5.9,0.374,3.3,6.2,0.525,0.543,2.3,2.8,0.804,0.3,2.4,2.8,5.2,0.6,0.6,2.1,2,15.4,monkma01
341,Moses Moody,SG,21,GSW,45,7,17.5,3,6.4,0.465,1.1,3.1,0.353,1.9,3.3,0.57,0.55,1.1,1.4,0.778,1,2,3,0.8,0.7,0.4,0.7,1.2,8.1,moodymo01
342,Xavier Moon,SG,29,LAC,2,0,6,0.5,1,0.5,0,0.5,0,0.5,0.5,1,0.5,0,0,,0,1,1,1.5,0,0,0.5,0.5,1,moonxa01
343,Taze Moore,SG,25,POR,3,0,3.3,1,1.7,0.6,0,0.7,0,1,1,1,0.6,0,0,,0,0,0,0.3,0.3,0,0.3,0.7,2,mooreta02
344,Wendell Moore Jr.,SG,22,MIN,14,0,3.1,0.4,0.7,0.5,0,0.3,0,0.4,0.4,0.833,0.5,0,0,,0,0.4,0.4,0.1,0.4,0.1,0.2,0.3,0.7,moorewe01
345,Ja Morant,PG,24,MEM,9,9,35.3,8.9,18.9,0.471,1.6,5.7,0.275,7.3,13.2,0.555,0.512,5.8,7.1,0.813,0.7,4.9,5.6,8.1,0.8,0.6,3,2.1,25.1,moranja01
346,Marcus Morris,PF,34,PHI,37,7,17.2,2.4,5.5,0.439,1,2.4,0.4,1.5,3.1,0.47,0.527,0.8,1,0.861,0.5,2.5,2.9,0.7,0.4,0.3,0.5,1.6,6.7,morrima03
347,Markieff Morris,PF,34,DAL,18,1,8.9,0.9,2.7,0.327,0.6,1.7,0.333,0.3,1.1,0.316,0.429,0.2,0.2,0.75,0.2,1.4,1.7,0.6,0.3,0.1,0.5,0.6,2.5,morrima02
348,Monte Morris,PG,28,TOT,14,0,14.6,2.1,5.5,0.377,0.6,2.3,0.281,1.4,3.2,0.444,0.435,0.4,0.6,0.625,0.2,1.6,1.9,2.2,0.5,0.2,0.2,0.4,5.1,morrimo01
348,Monte Morris,PG,28,DET,6,0,11.3,2,5.5,0.364,0.3,1.8,0.182,1.7,3.7,0.455,0.394,0.2,0.3,0.5,0.3,1.7,2,1.3,0.2,0.2,0.3,0.2,4.5,morrimo01
348,Monte Morris,PG,28,MIN,8,0,17,2.1,5.5,0.386,0.9,2.6,0.333,1.3,2.9,0.435,0.466,0.5,0.8,0.667,0.1,1.6,1.8,2.9,0.8,0.3,0.1,0.6,5.6,morrimo01
349,Trey Murphy III,SF,23,NOP,36,10,27,4.4,10.2,0.429,2.6,7.4,0.358,1.8,2.9,0.612,0.558,1.7,2.3,0.765,0.6,3.5,4.1,1.8,0.9,0.5,0.4,1.3,13.1,murphtr02
350,Dejounte Murray,SG,27,ATL,56,56,35,8.3,17.8,0.467,2.2,6.2,0.357,6.1,11.6,0.526,0.529,2.8,3.4,0.818,0.8,4.5,5.3,5.6,1.3,0.3,2.3,1.7,21.6,murrade01
351,Jamal Murray,PG,26,DEN,44,44,31.2,7.8,16.2,0.479,2.4,5.8,0.423,5.3,10.4,0.51,0.554,2.6,3,0.857,0.6,3.2,3.8,6.3,0.8,0.7,2.1,1.8,20.5,murraja01
352,Keegan Murray,SF,23,SAC,55,55,32.9,5.8,12.4,0.467,2.3,6.2,0.366,3.5,6.2,0.567,0.558,1.3,1.6,0.82,1.3,4,5.3,1.6,1.1,0.7,0.9,2.7,15.1,murrake02
353,Kris Murray,SF,23,POR,38,5,14.9,1.6,4,0.391,0.6,2,0.28,1,2,0.5,0.46,0.4,0.6,0.583,0.9,1.5,2.3,0.9,0.9,0.2,0.6,1,4,murrakr01
354,Mike Muscala,C,32,TOT,37,6,13.8,1.3,3.6,0.358,0.7,2.3,0.318,0.6,1.3,0.429,0.459,0.5,0.6,0.708,0.9,1.9,2.8,0.9,0.2,0.3,0.5,1.2,3.8,muscami01
354,Mike Muscala,C,32,WAS,24,2,14.1,1.4,3.8,0.367,0.6,2.1,0.275,0.8,1.6,0.487,0.444,0.6,0.8,0.75,0.9,2.2,3.1,0.9,0.2,0.3,0.7,1.3,4,muscami01
354,Mike Muscala,C,32,DET,13,4,13.2,1.2,3.4,0.341,1,2.6,0.382,0.2,0.8,0.2,0.489,0.2,0.3,0.5,0.8,1.5,2.2,0.8,0.2,0.4,0.2,1,3.5,muscami01
355,Svi Mykhailiuk,SF,26,BOS,25,0,7.5,0.9,2.6,0.348,0.7,2.1,0.321,0.2,0.5,0.462,0.477,0.1,0.2,0.5,0.2,0.6,0.9,0.5,0.3,0,0.3,0.5,2.6,mykhasv01
356,Larry Nance Jr.,C,31,NOP,43,0,18.4,2.1,3.6,0.588,0.5,1.1,0.426,1.6,2.5,0.66,0.654,0.7,0.9,0.718,1.5,3.7,5.1,1.6,0.9,0.4,0.9,1.5,5.3,nancela02
357,Pete Nance,PF,23,CLE,2,0,2,0,1,0,0,0,,0,1,0,0,0,0,,0,0,0,0,0,0,0,0,0,nancepe01
358,Andrew Nembhard,PG,24,IND,47,26,23.6,3.9,7.9,0.489,0.8,2.3,0.345,3.1,5.6,0.55,0.54,0.6,0.8,0.789,0.6,1.3,1.9,4.4,0.9,0.1,1.6,2,9.2,nembhan01
359,Aaron Nesmith,SF,24,IND,52,27,26.9,4.6,8.8,0.52,2.1,4.7,0.455,2.5,4.2,0.593,0.64,1.3,1.8,0.698,0.9,2.9,3.9,1.4,1,0.7,1,3.3,12.6,nesmiaa01
360,Georges Niang,PF,30,CLE,59,1,21.3,3.2,7.4,0.433,1.6,4.6,0.355,1.6,2.8,0.56,0.543,0.6,0.8,0.822,0.3,3.3,3.6,1.2,0.2,0.2,0.8,2.3,8.7,niangge01
361,Daishen Nix,PG,21,MIN,10,0,3.5,0.8,1.9,0.421,0.5,1.3,0.385,0.3,0.6,0.5,0.553,0.1,0.4,0.25,0,0.1,0.1,0.2,0.2,0,0.1,0.1,2.2,nixda01
362,Zeke Nnaji,PF,23,DEN,45,0,9.8,1.2,2.8,0.444,0.1,0.4,0.25,1.1,2.3,0.481,0.464,0.8,1.2,0.698,1.2,1,2.2,0.6,0.3,0.7,0.6,1.4,3.4,nnajize01
363,Jaylen Nowell,SG,24,MEM,9,1,17.3,2.4,6.1,0.4,0.4,2.6,0.174,2,3.6,0.563,0.436,0.3,0.3,1,0.3,1.2,1.6,1.8,0.3,0,0.6,1.4,5.7,nowelja01
364,Markquis Nowell,SG,24,TOR,1,0,4,0,1,0,0,0,,0,1,0,0,2,2,1,2,0,2,2,1,0,0,0,2,nowelma01
365,Frank Ntilikina,PG,25,CHO,5,0,8.6,0.2,1.8,0.111,0.2,1.6,0.125,0,0.2,0,0.167,0.4,0.4,1,0.2,1,1.2,0.8,0,0,0.2,0.8,1,ntilila01
366,Jusuf Nurkić,C,29,PHO,55,55,27.3,4.5,8.8,0.515,0.4,1.5,0.247,4.2,7.3,0.573,0.537,2.4,3.6,0.672,2.7,7.7,10.4,3.7,1,1,2.2,3.4,11.9,nurkiju01
367,Jordan Nwora,SF,25,TOT,31,1,10.5,1.8,4.3,0.425,0.6,2,0.328,1.2,2.4,0.507,0.5,0.9,1,0.875,0.4,1.5,1.9,1.1,0.4,0.1,0.6,1.1,5.2,nworajo01
367,Jordan Nwora,SF,25,IND,18,0,10.2,2.1,4.6,0.451,0.6,2,0.306,1.4,2.6,0.565,0.518,0.5,0.6,0.818,0.4,1.4,1.8,1,0.3,0.1,0.7,1.1,5.2,nworajo01
367,Jordan Nwora,SF,25,TOR,13,1,11.1,1.5,4,0.385,0.7,1.9,0.36,0.8,2.1,0.407,0.471,1.5,1.6,0.905,0.4,1.7,2.1,1.2,0.5,0.2,0.5,1.1,5.2,nworajo01
368,Royce O'Neale,SF,30,TOT,56,8,24.8,2.6,6.8,0.387,2,5.5,0.369,0.6,1.3,0.465,0.537,0.3,0.5,0.655,0.8,3.9,4.7,2.9,0.8,0.6,1,2.4,7.6,onealro01
368,Royce O'Neale,SF,30,BRK,49,6,24.5,2.6,6.6,0.388,2,5.4,0.366,0.6,1.2,0.483,0.537,0.3,0.4,0.682,0.8,3.7,4.5,2.8,0.7,0.6,1,2.4,7.4,onealro01
368,Royce O'Neale,SF,30,PHO,7,2,26.6,3,7.9,0.382,2.4,6.3,0.386,0.6,1.6,0.364,0.536,0.6,1,0.571,0.9,5.3,6.1,3.3,2,0.6,0.7,2.3,9,onealro01
369,Chuma Okeke,SF,25,ORL,35,8,11.1,1.1,2.9,0.38,0.7,2.1,0.315,0.4,0.8,0.556,0.495,0.1,0.1,0.4,0.5,1.6,2.1,0.5,0.2,0.2,0.3,0.5,2.9,okekech01
370,Josh Okogie,SG,25,PHO,53,11,17.2,1.5,3.7,0.413,0.5,1.7,0.3,1,2,0.509,0.482,1.3,1.8,0.732,1.3,1.4,2.7,1.1,0.9,0.4,0.6,1.2,4.9,okogijo01
371,Onyeka Okongwu,C,23,ATL,53,8,25.8,4,6.6,0.61,0.4,1.2,0.338,3.6,5.4,0.671,0.641,1.7,2.2,0.8,2.7,4.3,7,1.3,0.4,1.1,0.8,3,10.2,okongon01
372,Isaac Okoro,SF,23,CLE,50,27,26.1,3.4,6.7,0.5,1.1,2.8,0.401,2.2,3.9,0.572,0.585,1.4,2,0.696,1.1,1.9,3,2,0.8,0.5,0.8,2,9.3,okorois01
373,Kelly Olynyk,C,32,TOT,58,8,20.3,3,5.5,0.549,0.7,1.7,0.406,2.3,3.7,0.616,0.614,1.7,2,0.839,1.3,3.7,5,4.2,0.8,0.3,1.6,2.7,8.4,olynyke01
373,Kelly Olynyk,C,32,UTA,50,8,20.4,2.9,5.2,0.562,0.7,1.7,0.429,2.2,3.5,0.626,0.632,1.6,1.9,0.842,1.3,3.8,5.1,4.4,0.7,0.2,1.6,2.6,8.1,olynyke01
373,Kelly Olynyk,C,32,TOR,8,0,20,3.6,7.4,0.492,0.6,2.1,0.294,3,5.3,0.571,0.534,2.4,2.9,0.826,1.5,2.8,4.3,2.8,1.5,0.4,1.3,3,10.3,olynyke01
374,Eugene Omoruyi,SF,26,WAS,28,0,7.8,1.8,3.7,0.495,0.2,0.9,0.231,1.6,2.8,0.584,0.524,0.9,1.2,0.727,0.9,1.2,2.1,0.8,0.7,0,0.5,1.4,4.7,omorueu01
375,Cedi Osman,SF,28,SAS,60,1,17.7,2.6,5.4,0.472,1.2,3.1,0.38,1.4,2.3,0.597,0.581,0.6,0.8,0.68,0.4,2.1,2.5,1.8,0.5,0.2,0.7,1.5,6.9,osmande01
376,Kelly Oubre Jr.,SF,28,PHI,46,33,28.9,5.1,11.3,0.453,1.4,4.4,0.309,3.8,6.9,0.546,0.513,2,2.8,0.729,1.2,3.2,4.5,1.1,1.2,0.5,1,3,13.7,oubreke01
377,Chris Paul,PG,38,GSW,35,11,27.3,3.3,7.7,0.428,1.5,3.8,0.381,1.8,3.9,0.474,0.522,1.1,1.3,0.826,0.3,3.5,3.8,7.1,1.3,0.1,1.2,1.8,9.1,paulch01
378,Cameron Payne,PG,29,TOT,56,3,15.6,2.4,5.3,0.445,1.2,3,0.388,1.2,2.3,0.519,0.555,0.8,1,0.852,0.2,1.1,1.3,2.5,0.4,0.1,0.7,1.5,6.8,payneca01
378,Cameron Payne,PG,29,MIL,47,2,14.9,2.1,4.7,0.455,1.1,2.8,0.397,1,1.9,0.538,0.572,0.8,0.9,0.841,0.1,1.2,1.3,2.3,0.5,0.1,0.7,1.6,6.2,payneca01
378,Cameron Payne,PG,29,PHI,9,1,19.2,3.6,8.6,0.416,1.6,4.3,0.359,2,4.2,0.474,0.506,1,1.1,0.9,0.4,0.8,1.2,3.3,0.3,0.2,1,1.4,9.7,payneca01
379,Gary Payton II,SG,31,GSW,25,0,15.4,2.4,4.7,0.521,0.5,1.6,0.333,1.9,3.1,0.615,0.577,0.4,0.5,0.692,1.2,1.7,3,1,1.1,0.4,0.5,1.6,5.8,paytoga02
380,Drew Peterson,PF,24,BOS,1,0,3,1,1,1,1,1,1,0,0,,1.5,0,0,,0,0,0,1,0,0,0,1,3,peterdr01
381,Filip Petrušev,C,23,TOT,3,0,3.3,0.3,0.7,0.5,0,0,,0.3,0.7,0.5,0.5,0.3,0.7,0.5,0,0.3,0.3,0,0,0,0,0.3,1,petrufi01
381,Filip Petrušev,C,23,PHI,1,0,3,0,0,,0,0,,0,0,,,0,0,,0,1,1,0,0,0,0,0,0,petrufi01
381,Filip Petrušev,C,23,SAC,2,0,3.5,0.5,1,0.5,0,0,,0.5,1,0.5,0.5,0.5,1,0.5,0,0,0,0,0,0,0,0.5,1.5,petrufi01
382,Julian Phillips,SF,20,CHI,34,0,7.2,0.7,1.7,0.414,0.2,0.8,0.259,0.5,0.9,0.548,0.474,0.2,0.4,0.571,0.3,0.5,0.8,0.4,0.1,0.2,0.2,1,1.9,phillju01
383,Jalen Pickett,SG,24,DEN,20,0,5.4,0.6,1.5,0.4,0.4,1.1,0.318,0.3,0.4,0.625,0.517,0.2,0.2,0.75,0.1,0.5,0.6,0.7,0.2,0,0.4,0.6,1.7,pickeja02
384,Scotty Pippen Jr.,PG,23,MEM,8,4,22.6,3.5,7.4,0.475,1.6,2.9,0.565,1.9,4.5,0.417,0.585,1.9,2.6,0.714,1,2.4,3.4,4.5,1,0.5,1.9,2.6,10.5,pippesc02
385,Mason Plumlee,C,33,LAC,27,9,16.9,2.3,3.5,0.642,0,0,,2.3,3.5,0.642,0.642,1.8,2.6,0.686,1.4,4.3,5.7,1.2,0.4,0.3,0.7,1.5,6.3,plumlma01
386,Brandin Podziemski,SG,20,GSW,52,19,26.8,3.8,8.5,0.451,1.2,3.4,0.366,2.6,5.2,0.507,0.524,0.7,1.2,0.613,1.5,4.2,5.8,3.9,0.8,0.2,1.3,1.8,9.7,podzibr01
387,Jakob Poeltl,C,28,TOR,49,49,26.6,5,7.6,0.656,0,0,,5,7.6,0.656,0.656,1.2,2.2,0.551,3,5.8,8.7,2.5,0.7,1.5,1.6,3,11.2,poeltja01
388,Aleksej Pokusevski,PF,22,OKC,10,0,6,0.4,1.6,0.25,0.2,1.1,0.182,0.2,0.5,0.4,0.313,0.2,0.4,0.5,0.2,0.8,1,0.5,0.1,0.1,0.3,0.5,1.2,pokusal01
389,Jordan Poole,SG,24,WAS,58,52,29.3,5.8,14.6,0.401,2.1,6.7,0.31,3.8,7.9,0.478,0.472,2.5,2.9,0.86,0.4,2.2,2.5,3.7,1.1,0.3,2.2,3.3,16.3,poolejo01
390,Craig Porter Jr.,PG,23,CLE,35,5,14,2.5,4.9,0.506,0.2,0.6,0.333,2.3,4.3,0.53,0.526,1,1.4,0.708,0.4,1.9,2.4,2.6,0.5,0.3,1,0.9,6.1,portecr01
391,Jontay Porter,PF,24,TOR,17,5,13,1.5,4.1,0.371,0.7,2.2,0.324,0.8,1.9,0.424,0.457,0.6,0.7,0.917,1,2.2,3.2,1.8,0.7,0.6,0.6,1.6,4.4,portejo01
392,Michael Porter Jr.,SF,25,DEN,59,59,31.7,6.3,13.3,0.475,2.7,6.9,0.39,3.6,6.4,0.566,0.576,1.1,1.3,0.821,1.4,5.7,7.1,1.5,0.5,0.7,1.1,1.9,16.4,portemi01
393,Otto Porter Jr.,SF,30,TOR,15,1,11.6,0.9,2.2,0.424,0.5,1.5,0.348,0.4,0.7,0.6,0.545,0.2,0.2,1,0.4,1.5,1.9,0.5,0.3,0.3,0.1,1.3,2.6,porteot01
394,Bobby Portis,PF,28,MIL,61,1,23.9,5.2,10.5,0.495,1.2,3.1,0.38,4,7.5,0.542,0.55,1.3,1.7,0.782,1.7,5.3,7,1.2,0.8,0.4,1,2.3,12.9,portibo01
395,Kristaps Porziņģis,C,28,BOS,44,44,29.6,6.8,12.8,0.526,1.9,5.1,0.375,4.8,7.8,0.625,0.6,4.9,5.7,0.859,1.6,5.3,6.9,1.9,0.6,1.8,1.6,2.8,20.3,porzikr01
396,Micah Potter,PF,25,UTA,2,0,3.5,0,0.5,0,0,0.5,0,0,0,,0,0,0,,0,2,2,0,0,0,0,0,0,pottemi01
397,Dwight Powell,C,32,DAL,50,8,14.7,1.3,1.9,0.705,0,0,0.5,1.3,1.9,0.71,0.711,1.2,1.7,0.723,1.6,2,3.6,1.5,0.4,0.4,0.6,2,3.9,poweldw01
398,Norman Powell,SG,30,LAC,57,1,25.5,4.8,9.9,0.491,2.2,4.8,0.447,2.7,5,0.533,0.601,1.7,2.1,0.831,0.2,2.4,2.6,1.1,0.5,0.3,0.9,1.8,13.6,powelno01
399,Jason Preston,PG,24,UTA,1,0,1,0,0,,0,0,,0,0,,,0,0,,1,0,1,0,0,0,1,0,0,prestja01
400,Joshua Primo,SG,21,LAC,2,0,5,0.5,1.5,0.333,0,0.5,0,0.5,1,0.5,0.333,0,0,,0.5,0,0.5,0,0,0.5,2,0,1,primojo01
401,Taurean Prince,PF,29,LAL,58,49,29.4,3.4,7.7,0.434,1.9,4.9,0.385,1.5,2.8,0.521,0.557,0.7,0.9,0.717,0.2,2.7,2.9,1.7,0.8,0.4,0.9,2.1,9.3,princta02
402,Payton Pritchard,PG,26,BOS,59,0,20.4,2.9,6.6,0.436,1.7,4.5,0.379,1.2,2.1,0.556,0.564,0.5,0.6,0.811,0.9,2.2,3.1,2.7,0.4,0.1,0.6,1.3,8,pritcpa01
403,Olivier-Maxence Prosper,PF,21,DAL,33,0,7.9,0.8,2.2,0.351,0.2,1,0.235,0.5,1.2,0.45,0.405,0.7,1,0.676,0.5,1.3,1.9,0.6,0.2,0.1,0.2,0.5,2.5,prospol01
404,Trevelin Queen,SG,26,ORL,13,0,12.5,1.1,2.9,0.368,0.2,1.3,0.176,0.8,1.6,0.524,0.408,0.7,0.9,0.75,0.2,1.2,1.5,1.4,0.5,0.4,0.5,1.2,3.1,queentr01
405,Neemias Queta,C,24,BOS,23,0,12.3,2.1,3.5,0.613,0,0,,2.1,3.5,0.613,0.613,0.7,0.9,0.75,1.9,2.5,4.4,0.5,0.4,0.6,0.4,2,4.9,quetane01
406,Immanuel Quickley,SG-PG,24,TOT,55,25,28,5.5,12.6,0.434,2.5,6.1,0.408,3,6.5,0.458,0.533,2.6,3,0.849,0.2,3.1,3.4,4,0.7,0.1,1.2,1.7,16,quickim01
406,Immanuel Quickley,SG,24,NYK,30,0,24,5.1,11.2,0.454,2.1,5.4,0.395,2.9,5.8,0.509,0.549,2.7,3.1,0.872,0.2,2.4,2.6,2.5,0.5,0.1,1,1.5,15,quickim01
406,Immanuel Quickley,PG,24,TOR,25,25,32.8,6,14.4,0.415,3,7,0.42,3,7.3,0.41,0.518,2.4,2.9,0.819,0.3,4,4.3,5.8,0.8,0.2,1.4,1.9,17.2,quickim01
407,Lester Quinones,SG,23,GSW,25,0,12.3,1.5,3.9,0.392,0.9,2.3,0.379,0.6,1.6,0.41,0.505,0.7,1,0.68,0.8,1.5,2.3,1.2,0.2,0.1,0.6,1.4,4.6,quinole01
408,Julius Randle,PF,29,NYK,46,46,35.4,8.6,18.2,0.472,1.7,5.3,0.311,6.9,12.9,0.539,0.518,5.1,6.6,0.781,2.2,7,9.2,5,0.5,0.3,3.5,2.7,24,randlju01
409,Duop Reath,C,27,POR,44,12,17.2,3.3,7.1,0.466,1.3,3.6,0.363,2,3.4,0.576,0.559,1,1.3,0.724,1.5,2.3,3.8,1.1,0.5,0.5,0.8,2.5,8.9,reathdu01
